Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,19.39,6.06,9.71,0.6,3.02,2014
Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,13.94,5.26,6.21,0.21,2.26,2018
Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,8,13.4,4.67,6.21,0.4,2.12,2017
FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,11.8,1.27,8.64,0.15,1.73,2017
FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,10.94,1.26,7.95,0.12,1.61,2016
Grand Theft Auto V,Action,M,XOne,Rockstar Games,Rockstar North,9,8.72,4.7,3.25,0.01,0.76,2014
Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,3.97,0.27,1.34,2015
FIFA 16,Sports,E,PS4,EA Sports,EA Canada,8.5,8.22,1.15,5.77,0.07,1.23,2015
Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,EA DICE,7.1,8.03,3.31,3.19,0.23,1.3,2015
Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,Sledgehammer Games,8.5,7.53,2.84,3.34,0.14,1.22,2014
Minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,3.13,0.35,0.96,2014
FIFA 15,Sports,E,PS4,EA Sports,EA Canada,8.1,6.32,0.83,4.49,0.05,0.94,2014
God of War (2018),Action,M,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,6.15,2.83,2.17,0.13,1.02,2018
Call of Duty: Advanced Warfare,Shooter,M,XOne,Activision,Sledgehammer Games,8.3,5.22,3.25,1.49,0.01,0.48,2014
Final Fantasy XV,Role-Playing,T,PS4,Square Enix,Square Enix,8.1,5.07,1.81,1.53,1.05,0.68,2016
Fallout 4,Role-Playing,M,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,1.62,0.02,0.45,2015
Monster Hunter: World,Action,T,PS4,Capcom,Capcom,9.3,4.67,1.03,1.06,2.17,0.42,2018
"Pokemon: Let's Go, Pikachu!",Role-Playing,E,NS,Nintendo,Game Freak,8.3,4.57,2.16,1.24,0.82,0.34,2018
Overwatch,Shooter,T,PS4,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,1.8,0.17,0.73,2016
Star Wars Battlefront (2015),Shooter,T,XOne,Electronic Arts,EA DICE,6.9,4.15,2.49,1.26,0.02,0.38,2015
