Publisher,Pregion,xScale,yScale,globalScales
2K Games,NA,185,254321,3.12
2K Sports,NA,530,78065,11.27
Activision,NA,1000,200598,27.26
Arc System Works,JP,2965,100000,0.07
Atlus,JP,3198,278987,1.68
Bandai Namco Entertainment,JP,3145,223987,0.77
Bandai Namco Games,JP,3098,223321,0.29
Bethesda Softworks,NA,985,60918,23.68
Blizzard Entertainment,NA,250,40897,5.21
Capcom,JP,2654,110654,7.03
EA Sports,NA,1300,200321,27.44
Electronic Arts,NA,459,50357,31.57
Hello Games,NA,1254,156987,2.26
Koei Tecmo,JP,2997,182630,0.45
Konami Digital Entertainment,JP,2258,67890,2.07
Marvelous Interactive,JP,3095,188456,0.49
Microids,NA,1111,236570,0.15
Microsoft Studios,NA,712,90951,4.52
Mojang,NA,934,180987,3.36
Namco Bandai Games,JP,2190,56354,2.52
Nintendo,JP,2852,112987,32.02
NIS America,JP,3247,246540,0.72
Rockstar Games,NA,500,30453,42.05
Sega,JP,3100,2562000,2.82
Sold Out,NA,467,278654,0.29
Sony Computer Entertainment,JP,2564,90000,8.11
Sony Interactive Entertainment,JP,2987,120000,10.38
Square Enix,JP,2324,80465,10.12
Tecmo Koei,JP,3189,253987,0.45
Ubisoft,NA,687,56321,26.03
Warner Bros. Interactive,NA,344,40324,4.11
Warner Bros. Interactive Entertainment,NA,601,49987,4.01
Xseed Games,NA,398,279654,0.21
